customerID,gender,SeniorCitizen,Partner,Dependents,MonthlyCharges,TotalCharges,Contract,PaperlessBilling,Churn
7590-7789-00000,Female,0,Yes,No,79.22,2377.07,Month-to-month,No,Yes
7590-2850-00001,Male,0,Yes,Yes,64.58,7207.08,Month-to-month,No,Yes
7590-2407-00002,Female,0,No,No,19.27,4899.75,Month-to-month,Yes,No
7590-8855-00003,Female,1,No,No,46.66,7135.06,Two year,Yes,No
7590-8507-00004,Male,0,No,No,72.85,2522.78,Two year,Yes,No
7590-9676-00005,Male,0,No,No,83.0,2083.33,Two year,No,No
7590-9847-00006,Male,0,Yes,No,76.75,7314.39,Two year,No,No
7590-6058-00007,Male,0,Yes,No,28.0,5320.22,Month-to-month,Yes,No
7590-4047-00008,Female,0,Yes,Yes,46.2,2172.1,Month-to-month,Yes,No
7590-3784-00009,Female,0,No,No,59.68,918.57,One year,Yes,No
7590-3684-00010,Male,1,Yes,No,25.52,1189.67,One year,No,No
7590-7383-00011,Male,0,Yes,No,100.28,4314.54,Month-to-month,Yes,Yes
7590-4897-00012,Female,1,Yes,No,84.72,6242.44,One year,No,No
7590-8867-00013,Male,0,No,No,59.06,619.04,Month-to-month,Yes,No
7590-3300-00014,Female,0,No,No,68.64,4788.44,Month-to-month,No,No
7590-5498-00015,Male,0,Yes,Yes,102.41,799.34,One year,No,No
7590-6750-00016,Male,0,No,Yes,67.42,2660.9,Month-to-month,Yes,Yes
7590-4957-00017,Male,0,No,Yes,37.03,1244.59,Month-to-month,No,No
7590-5473-00018,Male,0,No,Yes,72.16,4902.59,Two year,No,No
7590-5883-00019,Male,0,No,Yes,27.8,3857.66,Month-to-month,Yes,No
7590-9913-00020,Male,0,No,No,113.75,3303.21,Month-to-month,Yes,Yes
7590-7817-00021,Female,0,Yes,No,56.8,4054.49,Month-to-month,No,No
7590-4457-00022,Male,0,Yes,No,109.56,4591.81,Two year,Yes,No
7590-3810-00023,Male,1,Yes,No,69.89,2592.96,Two year,No,No
7590-9498-00024,Female,0,No,No,109.13,1477.04,Month-to-month,No,Yes
7590-4887-00025,Male,1,No,No,18.17,1172.07,One year,No,No
7590-1001-00026,Female,0,Yes,No,36.11,772.75,One year,Yes,No
7590-7741-00027,Female,0,Yes,Yes,19.94,7073.3,One year,Yes,No
7590-2947-00028,Male,0,Yes,Yes,45.01,7371.57,Month-to-month,No,No
7590-2320-00029,Female,0,No,No,68.28,5738.79,Month-to-month,Yes,No
7590-4527-00030,Male,0,Yes,No,35.6,4909.65,Month-to-month,Yes,No
7590-6064-00031,Male,0,Yes,No,101.73,7144.98,Month-to-month,Yes,Yes
7590-2293-00032,Male,0,Yes,No,64.05,4267.07,Two year,No,No
7590-5543-00033,Female,0,Yes,No,32.16,945.36,Month-to-month,No,No
7590-1628-00034,Male,0,Yes,Yes,52.33,7421.58,One year,No,No
