account_id,account_age_months,plan_type,monthly_revenue,seats,support_tickets_30d,feature_adoption_score,cancelled
acct_0,56,Pro,362.85,19,2,0.34923184406341135,False
acct_1,53,Free,499.28,6,2,0.4309967294641438,False
acct_2,15,Pro,48.8,13,4,0.3132290603847313,True
acct_3,23,Free,403.82,13,3,0.8820305263842875,True
acct_4,4,Free,104.18,13,3,0.5633053656046252,True
acct_5,17,Free,275.17,19,3,0.2975372483626827,True
acct_6,39,Free,320.68,1,1,0.41622394283328035,False
acct_7,51,Enterprise,142.69,5,4,0.7349350261988261,False
acct_8,52,Free,1.95,2,2,0.6583214850553567,False
acct_9,14,Enterprise,143.27,10,5,0.5605439365794562,True
acct_10,15,Free,484.86,3,3,0.978030210160088,False
acct_11,35,Free,132.89,16,3,0.8031014652735827,True
acct_12,8,Pro,361.38,4,1,0.6549843007572846,False
acct_13,40,Pro,460.62,8,2,0.8617647570008554,False
acct_14,24,Free,337.76,6,3,0.9872766017066138,False
acct_15,19,Free,340.99,18,6,0.5472247097931392,False
acct_16,24,Free,482.74,9,2,0.874969444591299,False
acct_17,7,Free,454.85,15,2,0.11191719062979244,True
acct_18,13,Pro,273.38,8,3,0.7296585064547584,False
acct_19,2,Free,490.29,18,1,0.3233567848027189,True
acct_20,41,Pro,95.84,17,0,0.6375891537114352,False
acct_21,6,Enterprise,329.8,5,0,0.26573242106811845,True
acct_22,6,Free,396.35,9,0,0.7854011806952224,True
acct_23,53,Free,225.87,7,1,0.35584192361334976,False
acct_24,1,Free,341.46,7,2,0.302530654664916,False
acct_25,48,Pro,258.09,7,1,0.21357433093721112,False
acct_26,42,Enterprise,113.1,10,2,0.29705133785796334,True
acct_27,55,Free,0.38,10,2,0.39507479345800256,False
acct_28,8,Free,99.83,2,1,0.3798734882048048,False
acct_29,14,Pro,468.8,19,2,0.8499034116503399,False
acct_30,57,Pro,417.58,18,0,0.3982951424097353,False
acct_31,58,Pro,267.1,8,2,0.4552661369098069,False
acct_32,34,Enterprise,355.26,4,2,0.6929708456371898,False
acct_33,30,Pro,386.51,9,1,0.6538011120989357,False
acct_34,35,Free,287.3,11,4,0.6555837647473547,False
acct_35,43,Free,358.63,5,4,0.60867193721578,False
acct_36,21,Free,334.9,13,3,0.6797861295509227,False
acct_37,42,Free,188.88,18,1,0.90496259224458,False
acct_38,47,Free,179.63,14,4,0.697441402090908,False
acct_39,5,Free,35.47,1,3,0.5875600614828914,False
acct_40,43,Pro,123.48,8,1,0.8850246745177933,False
acct_41,42,Free,266.42,16,3,0.3748033445272092,False
acct_42,30,Pro,256.36,6,3,0.03194247328242916,True
acct_43,19,Pro,252.78,2,2,0.1363916732214554,True
acct_44,30,Free,361.02,3,1,0.6813584957094889,False
acct_45,1,Pro,140.42,2,2,0.4369231878032458,True
acct_46,34,Pro,170.56,11,0,0.2212023571068671,False
acct_47,20,Pro,403.11,2,4,0.0846290481883879,True
acct_48,9,Free,189.96,18,3,0.8019954998857871,False
acct_49,55,Pro,46.35,2,0,0.7070850145826706,False
acct_50,7,Pro,9.55,12,2,0.19850036561165563,False
acct_51,27,Free,433.01,9,1,0.830647726439366,False
acct_52,3,Pro,404.29,9,0,0.488429471416134,False
acct_53,46,Free,424.27,5,3,0.2478185413082663,False
acct_54,50,Free,299.82,18,5,0.8930194227184053,False
acct_55,12,Free,488.88,4,0,0.8639403399976897,False
acct_56,6,Enterprise,68.78,5,1,0.17855977525229128,True
acct_57,6,Pro,303.52,9,4,0.3003545589825788,True
acct_58,33,Pro,50.71,4,0,0.4566258402159258,False
acct_59,29,Free,280.1,11,2,0.4769936953701559,False
acct_60,14,Free,87.55,13,3,0.4499318407087348,True
acct_61,56,Enterprise,288.04,19,4,0.9602419679424989,False
acct_62,58,Free,314.08,17,2,0.7921125332951073,False
acct_63,29,Free,467.27,13,2,0.34081253264927125,False
acct_64,20,Free,453.25,13,0,0.24169118704803683,True
acct_65,32,Free,98.46,6,3,0.9590359329041129,False
acct_66,14,Pro,449.24,6,2,0.23884840691799025,True
acct_67,28,Pro,484.22,17,3,0.02229106251564461,True
acct_68,29,Pro,91.59,14,1,0.7287755246668612,False
acct_69,35,Free,130.88,4,1,0.9517426786436528,False
acct_70,25,Free,486.25,19,4,0.4745293594790162,False
acct_71,3,Pro,416.5,1,4,0.9688505366076994,False
acct_72,28,Free,490.46,3,3,0.30348428913582237,False
acct_73,3,Enterprise,243.67,18,2,0.034162191275128984,True
acct_74,43,Enterprise,320.69,2,0,0.35014453492136366,False
acct_75,4,Pro,33.08,3,0,0.7522975223324138,False
acct_76,7,Free,17.87,15,1,0.2849366463987498,False
acct_77,19,Pro,265.32,12,1,0.8500298544818509,False
acct_78,1,Free,470.2,7,2,0.017880274842229427,True
acct_79,4,Pro,233.78,9,1,0.8740785429595616,False
acct_80,44,Free,354.25,1,1,0.4006079400240208,False
acct_81,27,Enterprise,199.63,4,6,0.48798185027960705,False
acct_82,21,Pro,86.4,10,2,0.3496938078989855,True
acct_83,55,Pro,217.92,3,4,0.012007328032233922,False
acct_84,8,Free,0.03,10,2,0.7060546533138865,False
acct_85,37,Pro,406.29,7,4,0.4090662214328279,False
acct_86,28,Enterprise,103.54,2,3,0.7634383859672619,False
acct_87,36,Pro,383.89,13,4,0.8622959813061195,False
acct_88,44,Free,118.62,17,0,0.2076230782754811,False
acct_89,37,Pro,482.96,5,2,0.8136297130177259,False
acct_90,11,Pro,129.71,11,2,0.7121397370832862,True
acct_91,49,Pro,35.14,8,3,0.3838422678634328,False
acct_92,15,Free,99.73,17,2,0.14984355366201285,False
acct_93,28,Free,66.7,4,3,0.3060865404890887,False
acct_94,29,Free,378.74,14,1,0.023105793901490035,False
acct_95,26,Free,216.37,10,1,0.8142428556390424,False
acct_96,27,Pro,115.0,15,2,0.9303627061940262,False
acct_97,35,Free,123.5,3,1,0.4186541911071072,False
acct_98,29,Pro,208.42,7,3,0.4753122110672928,False
acct_99,50,Free,16.95,1,1,0.6008201839261191,False
acct_100,53,Free,321.87,8,3,0.7867842044837853,False
acct_101,56,Free,44.21,12,3,0.18772323245165223,False
acct_102,27,Pro,334.63,3,5,0.902665467876953,False
acct_103,32,Enterprise,268.45,5,3,0.765951771694294,False
acct_104,29,Pro,380.65,9,1,0.9206275423681406,False
acct_105,4,Free,490.05,3,2,0.33436696483674255,True
acct_106,38,Pro,291.79,17,1,0.9673407960394073,False
acct_107,43,Pro,178.98,11,2,0.7116134821202723,False
acct_108,7,Pro,478.6,14,1,0.5422408736087176,False
acct_109,44,Free,234.03,5,1,0.7768398893475572,False
acct_110,41,Free,449.48,12,3,0.7304097073590131,False
acct_111,9,Pro,252.71,2,2,0.8086310102436954,False
acct_112,57,Enterprise,259.58,1,1,0.7925738245672727,False
acct_113,47,Free,467.66,2,2,0.9003347049464426,False
acct_114,54,Free,2.5,4,1,0.6340835423973024,False
acct_115,49,Pro,83.78,8,1,0.22204566568004602,True
acct_116,26,Pro,174.64,8,1,0.6113190736388056,False
acct_117,36,Enterprise,111.82,6,4,0.8254465292524613,False
acct_118,26,Pro,257.71,4,2,0.6103134050366485,True
acct_119,46,Free,367.3,14,1,0.48930910513478887,False
acct_120,44,Free,412.11,11,3,0.05482639978780801,False
acct_121,18,Pro,248.25,16,1,0.46282075141644785,True
acct_122,37,Free,494.2,3,2,0.7889019436828476,False
acct_123,58,Free,287.56,5,0,0.811213171330403,False
acct_124,23,Free,438.37,12,4,0.06830137949873072,True
acct_125,28,Free,387.5,19,0,0.6388693200967498,True
acct_126,39,Pro,206.22,11,5,0.39499337924647826,False
acct_127,38,Pro,141.89,1,6,0.07670745792823164,True
acct_128,49,Pro,343.73,17,0,0.8069514153905405,False
acct_129,53,Pro,180.39,17,2,0.5875695250732116,False
acct_130,51,Pro,448.85,6,1,0.6829347587192105,False
acct_131,59,Pro,483.27,19,0,0.14552759582935815,False
acct_132,54,Free,66.72,12,4,0.8788420483157473,False
acct_133,34,Enterprise,376.0,3,3,0.46938517381891787,False
acct_134,42,Free,212.83,16,4,0.10730392443316517,False
acct_135,16,Free,494.62,14,0,0.7207187987322595,False
acct_136,40,Free,87.24,18,2,0.6253926281411573,False
acct_137,6,Free,294.95,15,4,0.8987803452757628,True
acct_138,20,Pro,424.29,8,3,0.7771098495651583,False
acct_139,4,Pro,303.89,7,1,0.12824061961689281,False
acct_140,9,Free,434.36,2,2,0.6228715187679327,False
acct_141,18,Free,486.51,2,1,0.48406022806122917,False
acct_142,9,Pro,454.06,15,2,0.5608595395404098,False
acct_143,35,Free,488.71,6,1,0.29700857821712934,False
acct_144,49,Enterprise,133.81,11,3,0.19729627978848052,False
acct_145,25,Free,466.52,15,3,0.0712308624754413,False
acct_146,45,Free,463.61,16,2,0.40136202502857254,False
acct_147,40,Free,449.59,2,0,0.49097097573422455,False
acct_148,49,Free,349.2,8,0,0.7518617576240072,False
acct_149,51,Free,16.9,3,1,0.36125644815277214,False
acct_150,4,Pro,149.62,12,1,0.2765429787407324,True
